mturkcode,gender,age,edu,ethnicity,pinterest,pcynical,pstance,veracity(1real),a-lib-mean,a-rep-mean,g-lib-mean,g-rep-mean,i-lib-mean,i-rep-mean,a-lib-dist,a-rep-dist,g-lib-dist,g-rep-dist,i-lib-dist,i-rep-dist
3298810,Male,30 ~ 39,Associate degree,Caucasian,Disagree,Neither agree or disagree,Very Liberal,1,1,3,2,2,3,4,2,0,1,-1,0,1
7376612,Female,40 ~ 49,Associate degree,Asian,agree,Disagree,Liberal,1,1,4,3,5,2,4,2,1,0,2,1,1
8141979,Female,above 50,Bachelor's degree,Caucasian,Strongly Agree,agree,Moderate,1,2,4,4,4,4,4,1,1,-1,1,-1,1
4535278,Male,30 ~ 39,High school degree or less,Caucasian,agree,Disagree,Moderate,1,3,3,2,4,2,3,0,0,1,1,1,0
6068178,Female,20 ~ 29,Bachelor's degree,Caucasian,agree,Neither agree or disagree,Liberal,1,2,4,3,2,2,3,1,1,0,-1,1,0
6687920,Female,40 ~ 49,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,agree,Neither agree or disagree,Conservative,1,1,1,4,4,4,4,2,-2,-1,1,-1,1
8783124,Female,30 ~ 39,High school degree or less,African American,agree,agree,Liberal,1,2,4,1,5,2,5,1,1,2,2,1,2
7513233,Male,20 ~ 29,Bachelor's degree,Caucasian,agree,agree,Conservative,1,1,5,1,5,2,3,2,2,2,2,1,0
5789054,Female,above 50,Bachelor's degree,Caucasian,agree,agree,Liberal,1,1,3,1,3,2,5,2,0,2,0,1,2
4300679,Male,30 ~ 39,High school degree or less,Caucasian,Strongly Agree,Disagree,Very Liberal,1,1,4,1,5,1,5,2,1,2,2,2,2
3379024,Female,40 ~ 49,High school degree or less,Caucasian,agree,Disagree,Very Liberal,1,2,4,2,4,2,4,1,1,1,1,1,1
8894311,Female,above 50,Associate degree,Caucasian,Neither agree or disagree,agree,Very Conservative,1,2,2,1,2,2,3,1,-1,2,-1,1,0
2709144,Female,20 ~ 29,High school degree or less,Hispanic / Latino,Disagree,agree,Moderate,1,2,2,2,5,3,3,1,-1,1,2,0,0
7044411,Male,30 ~ 39,Bachelor's degree,African American,agree,Strongly disagree,Liberal,1,1,3,1,5,1,5,2,0,2,2,2,2
7216493,Male,20 ~ 29,High school degree or less,Caucasian,Strongly Agree,Disagree,Very Conservative,1,1,3,1,4,2,5,2,0,2,1,1,2
6775987,Female,20 ~ 29,Bachelor's degree,Caucasian,Strongly Agree,agree,Very Liberal,1,1,4,2,4,2,4,2,1,1,1,1,1
3499581,Female,30 ~ 39,Bachelor's degree,Caucasian,agree,Disagree,Liberal,1,1,4,1,5,2,4,2,1,2,2,1,1
8843953,Male,30 ~ 39,High school degree or less,Caucasian,Disagree,Strongly Agree,Moderate,1,3,4,3,5,2,3,0,1,0,2,1,0
4629368,Female,40 ~ 49,Bachelor's degree,Caucasian,Neither agree or disagree,Strongly Agree,Moderate,1,2,3,2,4,3,5,1,0,1,1,0,2
3114684,Male,30 ~ 39,"Graduate degree (e.g., Master's, Doctoral)",Asian,Strongly Agree,Disagree,Liberal,1,1,4,1,5,2,5,2,1,2,2,1,2
1244089,Female,20 ~ 29,"Others (e.g., Professional degree)",Native American / Pacific / Islander / Native Alaskan,agree,Strongly Agree,Conservative,1,4,5,1,2,4,4,-1,2,2,-1,-1,1
6608552,Female,30 ~ 39,High school degree or less,Caucasian,agree,agree,Conservative,1,2,2,2,4,1,3,1,-1,1,1,2,0
1575122,Male,above 50,Associate degree,Caucasian,agree,Strongly Agree,Liberal,1,2,5,1,5,2,5,1,2,2,2,1,2
2814641,Female,above 50,Bachelor's degree,Other,Strongly Agree,Strongly Agree,Very Liberal,1,2,4,3,4,2,3,1,1,0,1,1,0
2090447,Male,20 ~ 29,Associate degree,Hispanic / Latino,agree,Neither agree or disagree,Liberal,1,2,4,2,4,2,4,1,1,1,1,1,1
3450643,Female,above 50,Associate degree,Caucasian,agree,agree,Liberal,1,1,5,2,5,2,4,2,2,1,2,1,1
5538384,Male,30 ~ 39,Associate degree,Caucasian,agree,Neither agree or disagree,Moderate,1,2,5,4,4,2,5,1,2,-1,1,1,2
8500791,Female,30 ~ 39,Associate degree,Caucasian,Neither agree or disagree,Neither agree or disagree,Moderate,1,4,4,3,4,4,4,-1,1,0,1,-1,1
6465179,Male,20 ~ 29,High school degree or less,Caucasian,agree,agree,Very Liberal,2,1,5,1,3,1,3,2,2,2,0,2,0
5798639,Male,30 ~ 39,High school degree or less,Asian,agree,Strongly Agree,Conservative,2,1,5,2,5,2,4,2,2,1,2,1,1
2847389,Male,30 ~ 39,Bachelor's degree,Caucasian,agree,Disagree,Conservative,2,1,4,2,2,4,2,2,1,1,-1,-1,-1
5411413,Female,30 ~ 39,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,Disagree,Neither agree or disagree,Liberal,2,3,3,3,4,4,2,0,0,0,1,-1,-1
5445980,Male,40 ~ 49,Associate degree,Caucasian,agree,Neither agree or disagree,Conservative,2,2,4,2,4,2,4,1,1,1,1,1,1
4833698,Female,30 ~ 39,"Graduate degree (e.g., Master's, Doctoral)",African American,Strongly Agree,Strongly Agree,Very Liberal,2,4,5,4,4,4,4,-1,2,-1,1,-1,1
5266225,Male,30 ~ 39,Bachelor's degree,Caucasian,Strongly Agree,Neither agree or disagree,Very Conservative,2,2,4,2,4,2,4,1,1,1,1,1,1
4966630,Male,40 ~ 49,Bachelor's degree,Caucasian,agree,agree,Moderate,2,4,4,2,4,2,4,-1,1,1,1,1,1
8933708,Male,40 ~ 49,High school degree or less,Caucasian,Strongly Agree,Strongly Agree,Very Liberal,2,3,4,2,4,2,4,0,1,1,1,1,1
4165756,Female,40 ~ 49,Bachelor's degree,Caucasian,Strongly Agree,Neither agree or disagree,Liberal,2,2,4,2,4,2,4,1,1,1,1,1,1
2422528,Male,30 ~ 39,High school degree or less,Caucasian,agree,agree,Very Liberal,2,4,2,4,4,2,4,-1,-1,-1,1,1,1
5601659,Male,30 ~ 39,Bachelor's degree,Caucasian,Strongly Agree,agree,Very Liberal,2,2,5,1,5,1,4,1,2,2,2,2,1
4947569,Male,40 ~ 49,High school degree or less,Caucasian,agree,agree,Conservative,2,2,4,2,4,4,4,1,1,1,1,-1,1
2886582,Male,above 50,Associate degree,Caucasian,Strongly Agree,agree,Liberal,2,4,5,1,5,2,4,-1,2,2,2,1,1
2333655,Female,above 50,Bachelor's degree,Caucasian,Disagree,agree,Conservative,2,3,4,5,5,3,3,0,1,-2,2,0,0
5382371,Male,40 ~ 49,High school degree or less,Caucasian,Disagree,agree,Liberal,2,2,2,2,5,1,4,1,-1,1,2,2,1
5949949,Female,40 ~ 49,Associate degree,Caucasian,agree,agree,Moderate,2,1,5,1,5,2,4,2,2,2,2,1,1
1716597,Male,30 ~ 39,High school degree or less,Caucasian,Neither agree or disagree,Strongly disagree,Moderate,2,3,3,5,5,3,3,0,0,-2,2,0,0
8237518,Male,20 ~ 29,Bachelor's degree,Caucasian,agree,Disagree,Liberal,2,1,3,2,4,1,3,2,0,1,1,2,0
3159701,Male,40 ~ 49,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,agree,agree,Very Liberal,2,1,4,1,2,2,4,2,1,2,-1,1,1
1003763,Female,above 50,Associate degree,Caucasian,agree,Neither agree or disagree,Liberal,2,2,4,2,4,2,4,1,1,1,1,1,1
4158757,Female,40 ~ 49,Associate degree,Caucasian,Neither agree or disagree,Strongly Agree,Moderate,2,1,2,1,5,3,5,2,-1,2,2,0,2
5723053,Male,40 ~ 49,Associate degree,Caucasian,Strongly Agree,agree,Conservative,2,3,4,3,4,4,4,0,1,0,1,-1,1
3322949,Female,above 50,Bachelor's degree,Caucasian,agree,Disagree,Very Liberal,2,2,4,1,5,2,4,1,1,2,2,1,1
1709626,Female,20 ~ 29,Bachelor's degree,African American,agree,Neither agree or disagree,Liberal,2,4,2,3,4,2,4,-1,-1,0,1,1,1
1505898,Male,30 ~ 39,Bachelor's degree,Caucasian,agree,agree,Conservative,2,3,5,4,2,5,2,0,2,-1,-1,-2,-1
5293322,Male,20 ~ 29,Bachelor's degree,African American,Strongly Agree,Neither agree or disagree,Very Liberal,2,3,5,5,3,1,5,0,2,-2,0,2,2
8396480,Female,30 ~ 39,Bachelor's degree,Caucasian,agree,Disagree,Liberal,2,2,5,2,5,1,4,1,2,1,2,2,1
5377586,Male,above 50,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,agree,agree,Very Conservative,2,1,5,2,5,3,4,2,2,1,2,0,1
8895543,Male,above 50,High school degree or less,Caucasian,Strongly Agree,agree,Conservative,2,1,5,1,5,2,5,2,2,2,2,1,2
6513913,Male,above 50,Bachelor's degree,Caucasian,agree,Disagree,Liberal,2,1,3,2,3,1,4,2,0,1,0,2,1
4356608,Male,30 ~ 39,Bachelor's degree,Asian,Strongly Agree,Disagree,Liberal,2,2,4,2,5,4,3,1,1,1,2,-1,0
4360989,Female,20 ~ 29,High school degree or less,Caucasian,Strongly Agree,Strongly disagree,Liberal,2,2,5,1,5,1,4,1,2,2,2,2,1
3868448,Male,30 ~ 39,Bachelor's degree,Caucasian,agree,agree,Liberal,2,2,4,2,4,2,4,1,1,1,1,1,1
7824302,Female,40 ~ 49,Bachelor's degree,Caucasian,agree,Neither agree or disagree,Moderate,2,1,4,2,4,2,3,2,1,1,1,1,0
8619577,Female,40 ~ 49,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,agree,Strongly disagree,Conservative,2,3,2,2,4,2,4,0,-1,1,1,1,1
3235776,Male,30 ~ 39,Bachelor's degree,Caucasian,agree,Neither agree or disagree,Very Liberal,2,1,4,2,3,1,3,2,1,1,0,2,0
6439869,Male,40 ~ 49,Bachelor's degree,Caucasian,agree,Neither agree or disagree,Liberal,2,2,3,3,2,2,4,1,0,0,-1,1,1
1734391,Male,30 ~ 39,High school degree or less,Caucasian,Strongly Agree,Strongly disagree,Conservative,2,2,4,2,4,2,4,1,1,1,1,1,1
7000372,Male,30 ~ 39,Bachelor's degree,Caucasian,Strongly Agree,agree,Very Conservative,2,2,5,2,5,1,5,1,2,1,2,2,2
5861490,Male,30 ~ 39,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,agree,agree,Liberal,2,2,4,2,3,2,4,1,1,1,0,1,1
1379915,Female,40 ~ 49,High school degree or less,Caucasian,Strongly disagree,Strongly Agree,Very Liberal,2,2,3,1,3,1,5,1,0,2,0,2,2
4406227,Male,30 ~ 39,High school degree or less,African American,Neither agree or disagree,agree,Liberal,2,2,4,3,5,2,3,1,1,0,2,1,0
8755445,Male,30 ~ 39,Bachelor's degree,Caucasian,agree,Disagree,Liberal,2,1,4,1,4,2,4,2,1,2,1,1,1
4529019,Male,30 ~ 39,Bachelor's degree,Caucasian,Strongly Agree,Strongly Agree,Conservative,2,2,4,1,4,2,4,1,1,2,1,1,1
8772908,Male,above 50,Associate degree,Caucasian,agree,agree,Very Liberal,2,2,4,1,5,2,4,1,1,2,2,1,1
6060331,Male,40 ~ 49,High school degree or less,Caucasian,agree,agree,Conservative,2,1,4,1,4,2,4,2,1,2,1,1,1
8179179,Female,above 50,Bachelor's degree,Caucasian,agree,agree,Moderate,2,2,3,1,4,3,3,1,0,2,1,0,0
5569071,Male,above 50,Associate degree,Caucasian,Strongly Agree,Strongly Agree,Conservative,2,5,4,4,5,4,3,-2,1,-1,2,-1,0
7751043,Male,30 ~ 39,"Graduate degree (e.g., Master's, Doctoral)",Native American / Pacific / Islander / Native Alaskan,agree,Strongly Agree,Conservative,2,1,4,2,5,1,4,2,1,1,2,2,1
2229240,Male,40 ~ 49,"Graduate degree (e.g., Master's, Doctoral)",Hispanic / Latino,Strongly Agree,agree,Very Liberal,2,2,5,2,5,1,4,1,2,1,2,2,1
